visit,ts,app_state
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403011,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403041,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403048,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403071,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403101,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403131,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403132,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403155,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403168,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403180,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403181,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403182,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403183,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403184,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403247,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403248,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403249,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403250,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403251,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403253,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403254,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403257,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403258,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403259,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403260,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403293,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403320,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403323,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403353,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403383,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403413,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403443,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403473,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403474,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403492,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403502,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602402935,1602403517,
